Maldicion en el tercer piso,Espanol,B,Terror
Nuevo Orden,Espanol,B15,Drama
Venganza implacable,Espanol,B,Accion
Estacion zombie 2: Peninsula,Espanol,B15,Accion
Jovenes Brujas: Nueva Hermandad,Espanol,B,Terror
Las brujas,Espanol,B,Comedia
Estacion zombie 2: Peninsula,Ingles,B15,Accion
Las brujas,Ingles,B,Comedia
¡Scooby!,Espanol,A,Infantil
